"Third-placed teams
advance from groupsv
t
e",,,,,,,,,,,,"1A
vs","1B
vs","1D
vs","1E
vs","1G
vs","1I
vs","1K
vs","1L
vs",No.
A,B,,,E,F,,H,I,,K,L,3E,3I,3B,3F,3A,3H,3L,3K,301
A,B,,,E,F,,H,I,J,,L,3E,3J,3B,3F,3A,3H,3L,3I,302
A,B,,,E,F,,H,I,J,K,,3E,3J,3B,3F,3A,3H,3I,3K,303
A,B,,,E,F,G,,,J,K,L,3E,3J,3B,3F,3A,3G,3L,3K,304
A,B,,,E,F,G,,I,,K,L,3E,3G,3B,3A,3I,3F,3L,3K,305
A,B,,,E,F,G,,I,J,,L,3E,3J,3B,3F,3A,3G,3L,3I,306
A,B,,,E,F,G,,I,J,K,,3E,3J,3B,3F,3A,3G,3I,3K,307
A,B,,,E,F,G,H,,,K,L,3E,3G,3B,3F,3A,3H,3L,3K,308
A,B,,,E,F,G,H,,J,,L,3H,3J,3B,3F,3A,3G,3L,3E,309
A,B,,,E,F,G,H,,J,K,,3H,3J,3B,3F,3A,3G,3E,3K,310
A,B,,,E,F,G,H,I,,,L,3E,3G,3B,3F,3A,3H,3L,3I,311
A,B,,,E,F,G,H,I,,K,,3E,3G,3B,3F,3A,3H,3I,3K,312
A,B,,,E,F,G,H,I,J,,,3H,3J,3B,3F,3A,3G,3E,3I,313
A,B,,D,,,,H,I,J,K,L,3I,3J,3B,3D,3A,3H,3L,3K,314
A,B,,D,,,G,,I,J,K,L,3I,3J,3B,3D,3A,3G,3L,3K,315
A,B,,D,,,G,H,,J,K,L,3H,3J,3B,3D,3A,3G,3L,3K,316
A,B,,D,,,G,H,I,,K,L,3I,3G,3B,3D,3A,3H,3L,3K,317
A,B,,D,,,G,H,I,J,,L,3H,3J,3B,3D,3A,3G,3L,3I,318
A,B,,D,,,G,H,I,J,K,,3H,3J,3B,3D,3A,3G,3I,3K,319
A,B,,D,,F,,,I,J,K,L,3I,3J,3B,3D,3A,3F,3L,3K,320
A,B,,D,,F,,H,,J,K,L,3H,3J,3B,3D,3A,3F,3L,3K,321
A,B,,D,,F,,H,I,,K,L,3H,3I,3B,3D,3A,3F,3L,3K,322
A,B,,D,,F,,H,I,J,,L,3H,3J,3B,3D,3A,3F,3L,3I,323
A,B,,D,,F,,H,I,J,K,,3H,3J,3B,3D,3A,3F,3I,3K,324
A,B,,D,,F,G,,,J,K,L,3F,3J,3B,3D,3A,3G,3L,3K,325
A,B,,D,,F,G,,I,,K,L,3I,3G,3B,3D,3A,3F,3L,3K,326
A,B,,D,,F,G,,I,J,,L,3F,3J,3B,3D,3A,3G,3L,3I,327
A,B,,D,,F,G,,I,J,K,,3F,3J,3B,3D,3A,3G,3I,3K,328
A,B,,D,,F,G,H,,,K,L,3H,3G,3B,3D,3A,3F,3L,3K,329
A,B,,D,,F,G,H,,J,,L,3H,3G,3B,3D,3A,3F,3L,3J,330
A,B,,D,,F,G,H,,J,K,,3H,3G,3B,3D,3A,3F,3J,3K,331
A,B,,D,,F,G,H,I,,,L,3H,3G,3B,3D,3A,3F,3L,3I,332
A,B,,D,,F,G,H,I,,K,,3H,3G,3B,3D,3A,3F,3I,3K,333
A,B,,D,,F,G,H,I,J,,,3H,3G,3B,3D,3A,3F,3I,3J,334
A,B,,D,E,,,,I,J,K,L,3E,3J,3B,3A,3I,3D,3L,3K,335
A,B,,D,E,,,H,,J,K,L,3E,3J,3B,3D,3A,3H,3L,3K,336
A,B,,D,E,,,H,I,,K,L,3E,3I,3B,3D,3A,3H,3L,3K,337
A,B,,D,E,,,H,I,J,,L,3E,3J,3B,3D,3A,3H,3L,3I,338
A,B,,D,E,,,H,I,J,K,,3E,3J,3B,3D,3A,3H,3I,3K,339
A,B,,D,E,,G,,,J,K,L,3E,3J,3B,3D,3A,3G,3L,3K,340
A,B,,D,E,,G,,I,,K,L,3E,3G,3B,3A,3I,3D,3L,3K,341
A,B,,D,E,,G,,I,J,,L,3E,3J,3B,3D,3A,3G,3L,3I,342
A,B,,D,E,,G,,I,J,K,,3E,3J,3B,3D,3A,3G,3I,3K,343
A,B,,D,E,,G,H,,,K,L,3E,3G,3B,3D,3A,3H,3L,3K,344
A,B,,D,E,,G,H,,J,,L,3H,3J,3B,3D,3A,3G,3L,3E,345
A,B,,D,E,,G,H,,J,K,,3H,3J,3B,3D,3A,3G,3E,3K,346
A,B,,D,E,,G,H,I,,,L,3E,3G,3B,3D,3A,3H,3L,3I,347
A,B,,D,E,,G,H,I,,K,,3E,3G,3B,3D,3A,3H,3I,3K,348
A,B,,D,E,,G,H,I,J,,,3H,3J,3B,3D,3A,3G,3E,3I,349
A,B,,D,E,F,,,,J,K,L,3E,3J,3B,3D,3A,3F,3L,3K,350
A,B,,D,E,F,,,I,,K,L,3E,3I,3B,3D,3A,3F,3L,3K,351
A,B,,D,E,F,,,I,J,,L,3E,3J,3B,3D,3A,3F,3L,3I,352
A,B,,D,E,F,,,I,J,K,,3E,3J,3B,3D,3A,3F,3I,3K,353
A,B,,D,E,F,,H,,,K,L,3H,3E,3B,3D,3A,3F,3L,3K,354
A,B,,D,E,F,,H,,J,,L,3H,3J,3B,3D,3A,3F,3L,3E,355
A,B,,D,E,F,,H,,J,K,,3H,3J,3B,3D,3A,3F,3E,3K,356
A,B,,D,E,F,,H,I,,,L,3H,3E,3B,3D,3A,3F,3L,3I,357
A,B,,D,E,F,,H,I,,K,,3H,3E,3B,3D,3A,3F,3I,3K,358
A,B,,D,E,F,,H,I,J,,,3H,3J,3B,3D,3A,3F,3E,3I,359
A,B,,D,E,F,G,,,,K,L,3E,3G,3B,3D,3A,3F,3L,3K,360
A,B,,D,E,F,G,,,J,,L,3E,3G,3B,3D,3A,3F,3L,3J,361
A,B,,D,E,F,G,,,J,K,,3E,3G,3B,3D,3A,3F,3J,3K,362
A,B,,D,E,F,G,,I,,,L,3E,3G,3B,3D,3A,3F,3L,3I,363
A,B,,D,E,F,G,,I,,K,,3E,3G,3B,3D,3A,3F,3I,3K,364
A,B,,D,E,F,G,,I,J,,,3E,3G,3B,3D,3A,3F,3I,3J,365
A,B,,D,E,F,G,H,,,,L,3H,3G,3B,3D,3A,3F,3L,3E,366
A,B,,D,E,F,G,H,,,K,,3H,3G,3B,3D,3A,3F,3E,3K,367
A,B,,D,E,F,G,H,,J,,,3H,3G,3B,3D,3A,3F,3E,3J,368
A,B,,D,E,F,G,H,I,,,,3H,3G,3B,3D,3A,3F,3E,3I,369
A,B,C,,,,,H,I,J,K,L,3I,3J,3B,3C,3A,3H,3L,3K,370
A,B,C,,,,G,,I,J,K,L,3I,3J,3B,3C,3A,3G,3L,3K,371
A,B,C,,,,G,H,,J,K,L,3H,3J,3B,3C,3A,3G,3L,3K,372
A,B,C,,,,G,H,I,,K,L,3I,3G,3B,3C,3A,3H,3L,3K,373
A,B,C,,,,G,H,I,J,,L,3H,3J,3B,3C,3A,3G,3L,3I,374
A,B,C,,,,G,H,I,J,K,,3H,3J,3B,3C,3A,3G,3I,3K,375
A,B,C,,,F,,,I,J,K,L,3I,3J,3B,3C,3A,3F,3L,3K,376
A,B,C,,,F,,H,,J,K,L,3H,3J,3B,3C,3A,3F,3L,3K,377
A,B,C,,,F,,H,I,,K,L,3H,3I,3B,3C,3A,3F,3L,3K,378
A,B,C,,,F,,H,I,J,,L,3H,3J,3B,3C,3A,3F,3L,3I,379
A,B,C,,,F,,H,I,J,K,,3H,3J,3B,3C,3A,3F,3I,3K,380
A,B,C,,,F,G,,,J,K,L,3C,3J,3B,3F,3A,3G,3L,3K,381
A,B,C,,,F,G,,I,,K,L,3I,3G,3B,3C,3A,3F,3L,3K,382
A,B,C,,,F,G,,I,J,,L,3C,3J,3B,3F,3A,3G,3L,3I,383
A,B,C,,,F,G,,I,J,K,,3C,3J,3B,3F,3A,3G,3I,3K,384
A,B,C,,,F,G,H,,,K,L,3H,3G,3B,3C,3A,3F,3L,3K,385
A,B,C,,,F,G,H,,J,,L,3H,3G,3B,3C,3A,3F,3L,3J,386
A,B,C,,,F,G,H,,J,K,,3H,3G,3B,3C,3A,3F,3J,3K,387
A,B,C,,,F,G,H,I,,,L,3H,3G,3B,3C,3A,3F,3L,3I,388
A,B,C,,,F,G,H,I,,K,,3H,3G,3B,3C,3A,3F,3I,3K,389
A,B,C,,,F,G,H,I,J,,,3H,3G,3B,3C,3A,3F,3I,3J,390
A,B,C,,E,,,,I,J,K,L,3E,3J,3B,3A,3I,3C,3L,3K,391
A,B,C,,E,,,H,,J,K,L,3E,3J,3B,3C,3A,3H,3L,3K,392
A,B,C,,E,,,H,I,,K,L,3E,3I,3B,3C,3A,3H,3L,3K,393
A,B,C,,E,,,H,I,J,,L,3E,3J,3B,3C,3A,3H,3L,3I,394
A,B,C,,E,,,H,I,J,K,,3E,3J,3B,3C,3A,3H,3I,3K,395
A,B,C,,E,,G,,,J,K,L,3E,3J,3B,3C,3A,3G,3L,3K,396
A,B,C,,E,,G,,I,,K,L,3E,3G,3B,3A,3I,3C,3L,3K,397
A,B,C,,E,,G,,I,J,,L,3E,3J,3B,3C,3A,3G,3L,3I,398
A,B,C,,E,,G,,I,J,K,,3E,3J,3B,3C,3A,3G,3I,3K,399
A,B,C,,E,,G,H,,,K,L,3E,3G,3B,3C,3A,3H,3L,3K,400
A,B,C,,E,,G,H,,J,,L,3H,3J,3B,3C,3A,3G,3L,3E,401
A,B,C,,E,,G,H,,J,K,,3H,3J,3B,3C,3A,3G,3E,3K,402
A,B,C,,E,,G,H,I,,,L,3E,3G,3B,3C,3A,3H,3L,3I,403
A,B,C,,E,,G,H,I,,K,,3E,3G,3B,3C,3A,3H,3I,3K,404
A,B,C,,E,,G,H,I,J,,,3H,3J,3B,3C,3A,3G,3E,3I,405
A,B,C,,E,F,,,,J,K,L,3E,3J,3B,3C,3A,3F,3L,3K,406
A,B,C,,E,F,,,I,,K,L,3E,3I,3B,3C,3A,3F,3L,3K,407
A,B,C,,E,F,,,I,J,,L,3E,3J,3B,3C,3A,3F,3L,3I,408
A,B,C,,E,F,,,I,J,K,,3E,3J,3B,3C,3A,3F,3I,3K,409
A,B,C,,E,F,,H,,,K,L,3H,3E,3B,3C,3A,3F,3L,3K,410
A,B,C,,E,F,,H,,J,,L,3H,3J,3B,3C,3A,3F,3L,3E,411
A,B,C,,E,F,,H,,J,K,,3H,3J,3B,3C,3A,3F,3E,3K,412
A,B,C,,E,F,,H,I,,,L,3H,3E,3B,3C,3A,3F,3L,3I,413
A,B,C,,E,F,,H,I,,K,,3H,3E,3B,3C,3A,3F,3I,3K,414
A,B,C,,E,F,,H,I,J,,,3H,3J,3B,3C,3A,3F,3E,3I,415
A,B,C,,E,F,G,,,,K,L,3E,3G,3B,3C,3A,3F,3L,3K,416
A,B,C,,E,F,G,,,J,,L,3E,3G,3B,3C,3A,3F,3L,3J,417
A,B,C,,E,F,G,,,J,K,,3E,3G,3B,3C,3A,3F,3J,3K,418
A,B,C,,E,F,G,,I,,,L,3E,3G,3B,3C,3A,3F,3L,3I,419
A,B,C,,E,F,G,,I,,K,,3E,3G,3B,3C,3A,3F,3I,3K,420
A,B,C,,E,F,G,,I,J,,,3E,3G,3B,3C,3A,3F,3I,3J,421
A,B,C,,E,F,G,H,,,,L,3H,3G,3B,3C,3A,3F,3L,3E,422
A,B,C,,E,F,G,H,,,K,,3H,3G,3B,3C,3A,3F,3E,3K,423
A,B,C,,E,F,G,H,,J,,,3H,3G,3B,3C,3A,3F,3E,3J,424
A,B,C,,E,F,G,H,I,,,,3H,3G,3B,3C,3A,3F,3E,3I,425
A,B,C,D,,,,,I,J,K,L,3I,3J,3B,3C,3A,3D,3L,3K,426
A,B,C,D,,,,H,,J,K,L,3H,3J,3B,3C,3A,3D,3L,3K,427
A,B,C,D,,,,H,I,,K,L,3H,3I,3B,3C,3A,3D,3L,3K,428
A,B,C,D,,,,H,I,J,,L,3H,3J,3B,3C,3A,3D,3L,3I,429
A,B,C,D,,,,H,I,J,K,,3H,3J,3B,3C,3A,3D,3I,3K,430
A,B,C,D,,,G,,,J,K,L,3C,3J,3B,3D,3A,3G,3L,3K,431
A,B,C,D,,,G,,I,,K,L,3I,3G,3B,3C,3A,3D,3L,3K,432
A,B,C,D,,,G,,I,J,,L,3C,3J,3B,3D,3A,3G,3L,3I,433
A,B,C,D,,,G,,I,J,K,,3C,3J,3B,3D,3A,3G,3I,3K,434
A,B,C,D,,,G,H,,,K,L,3H,3G,3B,3C,3A,3D,3L,3K,435
A,B,C,D,,,G,H,,J,,L,3H,3G,3B,3C,3A,3D,3L,3J,436
A,B,C,D,,,G,H,,J,K,,3H,3G,3B,3C,3A,3D,3J,3K,437
A,B,C,D,,,G,H,I,,,L,3H,3G,3B,3C,3A,3D,3L,3I,438
A,B,C,D,,,G,H,I,,K,,3H,3G,3B,3C,3A,3D,3I,3K,439
A,B,C,D,,,G,H,I,J,,,3H,3G,3B,3C,3A,3D,3I,3J,440
A,B,C,D,,F,,,,J,K,L,3C,3J,3B,3D,3A,3F,3L,3K,441
A,B,C,D,,F,,,I,,K,L,3C,3I,3B,3D,3A,3F,3L,3K,442
A,B,C,D,,F,,,I,J,,L,3C,3J,3B,3D,3A,3F,3L,3I,443
A,B,C,D,,F,,,I,J,K,,3C,3J,3B,3D,3A,3F,3I,3K,444
A,B,C,D,,F,,H,,,K,L,3H,3F,3B,3C,3A,3D,3L,3K,445
A,B,C,D,,F,,H,,J,,L,3C,3J,3B,3D,3A,3F,3L,3H,446
A,B,C,D,,F,,H,,J,K,,3H,3J,3B,3C,3A,3F,3D,3K,447
A,B,C,D,,F,,H,I,,,L,3H,3F,3B,3C,3A,3D,3L,3I,448
A,B,C,D,,F,,H,I,,K,,3H,3F,3B,3C,3A,3D,3I,3K,449
A,B,C,D,,F,,H,I,J,,,3H,3J,3B,3C,3A,3F,3D,3I,450
A,B,C,D,,F,G,,,,K,L,3C,3G,3B,3D,3A,3F,3L,3K,451
A,B,C,D,,F,G,,,J,,L,3C,3G,3B,3D,3A,3F,3L,3J,452
A,B,C,D,,F,G,,,J,K,,3C,3G,3B,3D,3A,3F,3J,3K,453
A,B,C,D,,F,G,,I,,,L,3C,3G,3B,3D,3A,3F,3L,3I,454
A,B,C,D,,F,G,,I,,K,,3C,3G,3B,3D,3A,3F,3I,3K,455
A,B,C,D,,F,G,,I,J,,,3C,3G,3B,3D,3A,3F,3I,3J,456
A,B,C,D,,F,G,H,,,,L,3C,3G,3B,3D,3A,3F,3L,3H,457
A,B,C,D,,F,G,H,,,K,,3H,3G,3B,3C,3A,3F,3D,3K,458
A,B,C,D,,F,G,H,,J,,,3H,3G,3B,3C,3A,3F,3D,3J,459
A,B,C,D,,F,G,H,I,,,,3H,3G,3B,3C,3A,3F,3D,3I,460
A,B,C,D,E,,,,,J,K,L,3E,3J,3B,3C,3A,3D,3L,3K,461
A,B,C,D,E,,,,I,,K,L,3E,3I,3B,3C,3A,3D,3L,3K,462
A,B,C,D,E,,,,I,J,,L,3E,3J,3B,3C,3A,3D,3L,3I,463
A,B,C,D,E,,,,I,J,K,,3E,3J,3B,3C,3A,3D,3I,3K,464
A,B,C,D,E,,,H,,,K,L,3H,3E,3B,3C,3A,3D,3L,3K,465
A,B,C,D,E,,,H,,J,,L,3H,3J,3B,3C,3A,3D,3L,3E,466
A,B,C,D,E,,,H,,J,K,,3H,3J,3B,3C,3A,3D,3E,3K,467
A,B,C,D,E,,,H,I,,,L,3H,3E,3B,3C,3A,3D,3L,3I,468
A,B,C,D,E,,,H,I,,K,,3H,3E,3B,3C,3A,3D,3I,3K,469
A,B,C,D,E,,,H,I,J,,,3H,3J,3B,3C,3A,3D,3E,3I,470
A,B,C,D,E,,G,,,,K,L,3E,3G,3B,3C,3A,3D,3L,3K,471
A,B,C,D,E,,G,,,J,,L,3E,3G,3B,3C,3A,3D,3L,3J,472
A,B,C,D,E,,G,,,J,K,,3E,3G,3B,3C,3A,3D,3J,3K,473
A,B,C,D,E,,G,,I,,,L,3E,3G,3B,3C,3A,3D,3L,3I,474
A,B,C,D,E,,G,,I,,K,,3E,3G,3B,3C,3A,3D,3I,3K,475
A,B,C,D,E,,G,,I,J,,,3E,3G,3B,3C,3A,3D,3I,3J,476
A,B,C,D,E,,G,H,,,,L,3H,3G,3B,3C,3A,3D,3L,3E,477
A,B,C,D,E,,G,H,,,K,,3H,3G,3B,3C,3A,3D,3E,3K,478
A,B,C,D,E,,G,H,,J,,,3H,3G,3B,3C,3A,3D,3E,3J,479
A,B,C,D,E,,G,H,I,,,,3H,3G,3B,3C,3A,3D,3E,3I,480
A,B,C,D,E,F,,,,,K,L,3C,3E,3B,3D,3A,3F,3L,3K,481
A,B,C,D,E,F,,,,J,,L,3C,3J,3B,3D,3A,3F,3L,3E,482
A,B,C,D,E,F,,,,J,K,,3C,3J,3B,3D,3A,3F,3E,3K,483
A,B,C,D,E,F,,,I,,,L,3C,3E,3B,3D,3A,3F,3L,3I,484
A,B,C,D,E,F,,,I,,K,,3C,3E,3B,3D,3A,3F,3I,3K,485
A,B,C,D,E,F,,,I,J,,,3C,3J,3B,3D,3A,3F,3E,3I,486
A,B,C,D,E,F,,H,,,,L,3H,3F,3B,3C,3A,3D,3L,3E,487
A,B,C,D,E,F,,H,,,K,,3H,3E,3B,3C,3A,3F,3D,3K,488
A,B,C,D,E,F,,H,,J,,,3H,3J,3B,3C,3A,3F,3D,3E,489
A,B,C,D,E,F,,H,I,,,,3H,3E,3B,3C,3A,3F,3D,3I,490
A,B,C,D,E,F,G,,,,,L,3C,3G,3B,3D,3A,3F,3L,3E,491
A,B,C,D,E,F,G,,,,K,,3C,3G,3B,3D,3A,3F,3E,3K,492
A,B,C,D,E,F,G,,,J,,,3C,3G,3B,3D,3A,3F,3E,3J,493
A,B,C,D,E,F,G,,I,,,,3C,3G,3B,3D,3A,3F,3E,3I,494
A,B,C,D,E,F,G,H,,,,,3H,3G,3B,3C,3A,3F,3D,3E,495
